09/09/2017 04:42:56 - INFORMATION - thuan - Logout successfull
09/09/2017 04:43:29 - INFORMATION - thuan - SignIn successfull
09/09/2017 04:43:41 - INFORMATION - thanh - SignIn successfull
09/09/2017 04:45:59 - INFORMATION - thanh - Request logout
09/09/2017 04:45:59 - INFORMATION - thanh - Logout successfull
09/09/2017 04:46:09 - INFORMATION - thuan - Request logout
09/09/2017 04:46:09 - INFORMATION - thuan - Logout successfull
09/09/2017 04:46:27 - INFORMATION - thuan - SignIn successfull
09/09/2017 04:46:38 - INFORMATION - thanh - SignIn successfull
09/09/2017 04:48:41 - INFORMATION - thanh - Request logout
09/09/2017 04:48:41 - INFORMATION - thanh - Logout successfull
09/09/2017 04:48:45 - INFORMATION - thuan - Request logout
09/09/2017 04:48:45 - INFORMATION - thuan - Logout successfull
09/09/2017 04:48:57 - INFORMATION - thuan - SignIn successfull
09/09/2017 04:49:13 - INFORMATION - thanh - SignIn successfull
09/09/2017 04:50:50 - INFORMATION - thanh - Request logout
09/09/2017 04:50:50 - INFORMATION - thanh - Logout successfull
09/09/2017 04:50:55 - INFORMATION - thuan - Request logout
09/09/2017 04:50:55 - INFORMATION - thuan - Logout successfull
09/09/2017 04:53:41 - INFORMATION - thuan - SignIn successfull
09/09/2017 04:53:55 - INFORMATION - thanh - SignIn successfull
09/09/2017 04:55:25 - INFORMATION - thien - SignIn successfull
09/09/2017 04:57:06 - INFORMATION - thanh - Request logout
09/09/2017 04:57:06 - INFORMATION - thanh - Logout successfull
09/09/2017 04:57:09 - INFORMATION - thien - Request logout
09/09/2017 04:57:09 - INFORMATION - thien - Logout successfull
09/09/2017 04:57:16 - INFORMATION - thuan - Request logout
09/09/2017 04:57:16 - INFORMATION - thuan - Logout successfull
09/09/2017 05:11:40 - INFORMATION - Server - Stop server
09/09/2017 15:03:39 - INFORMATION - Server - Start server
09/09/2017 15:04:34 - INFORMATION - thanh - SignIn successfull
09/09/2017 15:04:55 - INFORMATION - thuan - SignIn successfull
09/09/2017 15:08:19 - INFORMATION - thuan - Request logout
09/09/2017 15:08:19 - INFORMATION - thuan - Logout successfull
09/09/2017 15:08:45 - INFORMATION - thuan - SignIn successfull
09/09/2017 15:12:07 - INFORMATION - thanh - SignIn successfull
09/09/2017 15:34:40 - INFORMATION - thuan - Request logout
09/09/2017 15:34:40 - INFORMATION - thuan - Logout successfull
09/09/2017 15:54:17 - INFORMATION - Server - Start server
09/09/2017 15:55:01 - INFORMATION - thuan - SignIn successfull
09/09/2017 15:55:19 - INFORMATION - thuan - Request logout
09/09/2017 15:55:19 - INFORMATION - thuan - Logout successfull
09/09/2017 16:19:18 - INFORMATION - Server - Start server
09/09/2017 16:19:35 - INFORMATION - thuan - SignIn successfull
09/09/2017 16:19:37 - INFORMATION - thuan - Request logout
09/09/2017 16:19:37 - INFORMATION - thuan - Logout successfull
